obs_wavelength,Transition,element,obs_ep,obs_ew,abund
6593.868,26.0,FeI,2.44,12.23,5.22
6609.109,26.0,FeI,2.56,9.17,5.49
6663.440,26.0,FeI,2.42,5.32,4.90
6677.986,26.0,FeI,2.69,34.18,5.15
6750.152,26.0,FeI,2.42,7.40,5.15
6978.850,26.0,FeI,2.48,8.32,5.13
4122.668,26.1,FeII,2.58,24.49,5.58
4128.748,26.1,FeII,2.58,5.82,4.91
4178.860,26.1,FeII,2.58,35.80,4.97
4233.170,26.1,FeII,2.58,64.96,5.15
4416.817,26.1,FeII,2.78,31.19,5.15
4489.185,26.1,FeII,2.83,15.50,5.14
4491.410,26.1,FeII,2.86,19.10,5.03
4508.283,26.1,FeII,2.86,34.90,5.29
4515.340,26.1,FeII,2.84,28.01,5.12
4520.224,26.1,FeII,2.81,21.98,4.94
4522.630,26.1,FeII,2.84,56.01,5.43
4541.523,26.1,FeII,2.86,12.71,5.14
4576.340,26.1,FeII,2.84,12.25,4.99
4583.840,26.1,FeII,2.81,60.55,5.18
4620.520,26.1,FeII,2.83,6.19,4.91
4731.439,26.1,FeII,2.89,10.66,5.38
4923.930,26.1,FeII,2.89,80.94,5.15
5018.450,26.1,FeII,2.89,86.20,5.17
5197.580,26.1,FeII,3.23,26.32,5.08
5234.630,26.1,FeII,3.22,29.51,5.11
5276.000,26.1,FeII,3.20,39.37,5.13
5284.080,26.1,FeII,2.89,8.83,5.08
5534.834,26.1,FeII,3.25,10.94,5.31
6247.545,26.1,FeII,3.89,5.76,5.24
6432.680,26.1,FeII,2.89,2.88,5.04
6456.383,26.1,FeII,3.90,11.71,5.16
