obs_wavelength,element,obs_ep,obs_ew
5534.834,FeII,3.25,28.66
5569.618,FeI,3.42,70.06
5572.842,FeI,3.4,88.97
5576.088,FeI,3.43,44.33
5586.756,FeI,3.37,98.95
5615.644,FeI,3.33,129.93
5624.542,FeI,3.42,54.76
5658.816,FeI,3.4,62.36
5662.516,FeI,4.18,12.95
5686.529,FeI,4.55,6.12
5701.544,FeI,2.56,39.48
5753.122,FeI,4.26,10.54
5816.373,FeI,4.55,4.53
6065.481,FeI,2.61,89.14
6136.615,FeI,2.45,130.41
6137.691,FeI,2.59,102.84
6151.618,FeI,2.18,17.79
6191.558,FeI,2.43,124.73
6200.312,FeI,2.61,31.54
6213.429,FeI,2.22,58.47
6219.28,FeI,2.2,68.86
6230.723,FeI,2.56,119.95
6240.645,FeI,2.22,14.62
6246.318,FeI,3.6,37.17
6247.545,FeII,3.89,14.19
6252.555,FeI,2.4,101.7
6254.257,FeI,2.28,62
6265.134,FeI,2.18,60.53
6301.499,FeI,3.65,31.46
6322.684,FeI,2.59,34.02
6335.33,FeI,2.2,81.92
6336.835,FeI,3.69,27.97
6344.148,FeI,2.43,20.72
6355.029,FeI,2.84,19.01
6393.601,FeI,2.43,108.29
6411.649,FeI,3.65,46.91
6421.35,FeI,2.28,93.84
6430.846,FeI,2.18,109.48
6432.68,FeII,2.89,14.07
6456.383,FeII,3.9,21.03
6494.98,FeI,2.4,133.28
6498.94,FeI,0.96,36.23
6592.912,FeI,2.73,81.04
6593.868,FeI,2.44,47.25
6609.109,FeI,2.56,20.37
6663.44,FeI,2.42,46.62
6677.986,FeI,2.69,97.69
6750.152,FeI,2.42,39.34
6978.85,FeI,2.48,42.64
