,element,obs_wavelength,obs_ep,obs_ew
127,FeI,4869.46,3.55,0.0
128,FeI,4871.32,2.87,0.0
129,FeI,4872.14,2.88,0.0
130,FeI,4873.75,3.3,0.0
131,FeI,4875.88,3.33,0.0
132,FeI,4877.6,3.0,0.0
133,FeI,4882.14,3.42,0.0
134,FeI,4885.43,3.88,0.0
135,FeI,4890.76,2.88,0.0
136,FeI,4891.49,2.85,0.0
137,FeI,4896.44,3.88,0.0
138,FeI,4903.31,2.88,0.0
139,FeI,4905.13,3.93,0.0
140,FeI,4907.73,3.43,0.0
141,FeI,4910.02,3.4,0.0
142,FeI,4911.78,3.93,0.0
143,FeI,4918.99,2.86,0.0
144,FeI,4920.5,2.83,0.0
145,FeI,4924.77,2.28,0.0
146,FeI,4938.81,2.88,0.0
147,FeI,4939.69,0.86,0.0
148,FeI,4946.39,3.37,0.0
149,FeI,4950.11,3.42,0.0
150,FeI,4962.57,4.18,0.0
151,FeI,4966.09,3.33,0.0
152,FeI,4969.92,4.22,0.0
153,FeI,4985.55,2.87,0.0
154,FeI,4992.79,4.26,0.0
155,FeI,4994.13,0.92,0.0
156,FeI,4999.11,4.19,0.0
157,FeI,5001.86,3.88,0.0
158,FeI,5002.79,3.4,0.0
159,FeI,5005.71,3.88,0.0
160,FeI,5006.12,2.83,0.0
161,FeI,5012.69,4.28,0.0
162,FeI,5014.94,3.94,0.0
163,FeI,5022.24,3.98,0.0
164,FeI,5023.19,4.28,0.0
165,FeI,5028.13,3.57,0.0
166,FeI,5039.25,3.37,0.0
167,FeI,5044.21,2.85,0.0
168,FeI,5048.44,3.96,0.0
169,FeI,5049.82,2.28,0.0
170,FeI,5051.63,0.92,0.0
171,FeI,5054.64,3.64,0.0
172,FeI,5058.5,3.64,0.0
173,FeI,5060.08,0.0,0.0
174,FeI,5068.77,2.94,0.0
175,FeI,5079.22,2.2,0.0
176,FeI,5079.74,0.99,0.0
177,FeI,5083.34,0.96,0.0
178,FeI,5088.15,4.15,0.0
179,FeI,5107.45,0.99,0.0
180,FeI,5107.64,1.56,0.0
181,FeI,5109.65,4.3,0.0
182,FeI,5115.78,3.57,0.0
183,FeI,5123.72,1.01,0.0
184,FeI,5127.36,0.92,0.0
185,FeI,5131.47,2.22,0.0
186,FeI,5133.69,4.18,0.0
187,FeI,5141.74,2.42,0.0
188,FeI,5150.84,0.99,0.0
189,FeI,5151.91,1.01,0.0
190,FeI,5166.28,0.0,0.0
191,FeI,5171.6,1.49,0.0
192,FeI,5191.45,3.04,0.0
193,FeI,5192.34,3.0,0.0
194,FeI,5194.94,1.56,0.0
195,FeI,5197.94,4.3,0.0
196,FeI,5198.71,2.22,0.0
197,FeI,5202.34,2.18,0.0
198,FeI,5215.18,3.27,0.0
199,FeI,5216.27,1.61,0.0
200,FeI,5217.39,3.21,0.0
201,FeI,5223.18,3.63,0.0
202,FeI,5225.53,0.11,0.0
203,FeI,5228.38,4.22,0.0
204,FeI,5232.94,2.94,0.0
205,FeI,5242.49,3.63,0.0
206,FeI,5243.78,4.26,0.0
207,FeI,5247.05,0.09,0.0
208,FeI,5250.21,0.12,0.0
209,FeI,5250.65,2.2,0.0
210,FeI,5253.02,2.28,0.0
211,FeI,5253.46,3.28,0.0
212,FeI,5262.88,3.25,0.0
213,FeI,5263.31,3.27,0.0
214,FeI,5266.56,3.0,0.0
215,FeI,5281.79,3.04,0.0
216,FeI,5283.62,3.24,0.0
217,FeI,5285.13,4.43,0.0
218,FeI,5288.52,3.69,0.0
219,FeI,5293.96,4.14,0.0
220,FeI,5294.55,3.64,0.0
221,FeI,5295.31,4.42,0.0
222,FeI,5300.4,4.59,0.0
223,FeI,5302.3,3.28,0.0
224,FeI,5307.36,1.61,0.0
225,FeI,5321.11,4.43,0.0
226,FeI,5322.04,2.28,0.0
227,FeI,5324.18,3.21,0.0
228,FeI,5332.9,1.56,0.0
229,FeI,5339.93,3.27,0.0
230,FeI,5341.02,1.61,0.0
231,FeI,5364.87,4.45,0.0
232,FeI,5365.4,3.57,0.0
233,FeI,5367.47,4.42,0.0
234,FeI,5369.96,4.37,0.0
235,FeI,5371.49,0.96,0.0
236,FeI,5373.71,4.47,0.0
237,FeI,5379.57,3.69,0.0
238,FeI,5383.37,4.31,0.0
239,FeI,5386.33,4.15,0.0
240,FeI,5389.48,4.42,0.0
241,FeI,5395.22,4.45,0.0
242,FeI,5397.13,0.92,0.0
243,FeI,5398.28,4.45,0.0
244,FeI,5405.77,0.99,0.0
245,FeI,5410.91,4.47,0.0
246,FeI,5412.78,4.43,0.0
247,FeI,5415.2,4.39,0.0
248,FeI,5417.03,4.42,0.0
249,FeI,5424.07,4.32,0.0
250,FeI,5429.7,0.96,0.0
251,FeI,5434.52,1.01,0.0
252,FeI,5436.59,2.28,0.0
253,FeI,5441.34,4.31,0.0
254,FeI,5445.04,4.39,0.0
255,FeI,5461.55,4.45,0.0
256,FeI,5464.28,4.14,0.0
257,FeI,5466.4,4.37,0.0
258,FeI,5470.09,4.45,0.0
259,FeI,5473.9,4.15,0.0
260,FeI,5483.1,4.15,0.0
261,FeI,5487.15,4.42,0.0
262,FeI,5491.83,4.19,0.0
263,FeI,5493.5,4.1,0.0
264,FeI,5494.46,4.08,0.0
265,FeI,5497.52,1.01,0.0
266,FeI,5501.47,0.96,0.0
267,FeI,5506.78,0.99,0.0
268,FeI,5522.45,4.21,0.0
269,FeI,5525.54,4.23,0.0
270,FeI,5536.58,2.83,0.0
271,FeI,5539.28,3.64,0.0
272,FeI,5543.94,4.22,0.0
273,FeI,5546.51,4.37,0.0
274,FeI,5552.69,4.95,0.0
275,FeI,5554.9,4.55,0.0
276,FeI,5560.21,4.43,0.0
277,FeI,5563.6,4.19,0.0
278,FeI,5569.62,3.42,0.0
279,FeI,5576.09,3.43,0.0
280,FeI,5586.76,3.37,0.0
281,FeI,5587.57,4.14,0.0
282,FeI,5618.63,4.21,0.0
283,FeI,5619.6,4.39,0.0
284,FeI,5624.02,4.39,0.0
285,FeI,5624.54,3.42,0.0
286,FeI,5633.95,4.99,0.0
287,FeI,5635.82,4.26,0.0
